name,email,phone,company,source,note
客戶_060,client060@example.com,,公司_I060,網站,熱門
客戶_061,client061@example.com,0900000061,公司_J061,Phone,VIP
客戶_062,client062@example.com,0900000062,公司_K062,Webinar,需 demo
客戶_063,,0900000063,公司_L063,LinkedIn,合約洽談
客戶_064,client064@example.com,0900000064,公司_M064,展會,
客戶_065,client065@example.com,,公司_N065,Email,熱門
客戶_066,client066@example.com,0900000066,公司_O066,推薦,VIP
客戶_067,client067@example.com,0900000067,公司_P067,網站,需 demo
客戶_068,client068@example.com,0900000068,公司_Q068,Phone,合約洽談
客戶_069,client069@example.com,0900000069,公司_R069,Webinar,
客戶_070,,,公司_S070,LinkedIn,熱門
客戶_071,client071@example.com,0900000071,公司_T071,展會,VIP
客戶_072,client072@example.com,0900000072,公司_U072,Email,需 demo
客戶_073,client073@example.com,0900000073,公司_V073,推薦,合約洽談
客戶_074,client074@example.com,0900000074,公司_W074,網站,
客戶_075,client075@example.com,,公司_X075,Phone,熱門
客戶_076,client076@example.com,0900000076,公司_Y076,Webinar,VIP
客戶_077,,0900000077,公司_Z077,LinkedIn,需 demo
客戶_078,client078@example.com,0900000078,公司_A078,展會,合約洽談
客戶_079,client079@example.com,0900000079,公司_B079,Email,
客戶_080,client080@example.com,,公司_C080,推薦,熱門
客戶_081,client081@example.com,0900000081,公司_D081,網站,VIP
客戶_082,client082@example.com,0900000082,公司_E082,Phone,需 demo
客戶_083,client083@example.com,0900000083,公司_F083,Webinar,合約洽談
客戶_084,,0900000084,公司_G084,LinkedIn,
客戶_085,client085@example.com,,公司_H085,展會,熱門
客戶_086,client086@example.com,0900000086,公司_I086,Email,VIP
客戶_087,client087@example.com,0900000087,公司_J087,推薦,需 demo
客戶_088,client088@example.com,0900000088,公司_K088,網站,合約洽談
客戶_089,client089@example.com,0900000089,公司_L089,Phone,
客戶_090,client090@example.com,,公司_M090,Webinar,熱門
客戶_091,,0900000091,公司_N091,LinkedIn,VIP
客戶_092,client092@example.com,0900000092,公司_O092,展會,需 demo
客戶_093,client093@example.com,0900000093,公司_P093,Email,合約洽談
客戶_094,client094@example.com,0900000094,公司_Q094,推薦,
客戶_095,client095@example.com,,公司_R095,網站,熱門
客戶_096,client096@example.com,0900000096,公司_S096,Phone,VIP
客戶_097,client097@example.com,0900000097,公司_T097,Webinar,需 demo
客戶_098,,0900000098,公司_U098,LinkedIn,合約洽談
客戶_099,client099@example.com,0900000099,公司_V099,展會,
客戶_100,client100@example.com,,公司_W100,Email,熱門
客戶_003,client003@exampl,公司_dup_003,Email,重複線索
客戶_017,client017@exampl,公司_dup_017,Email,重複線索
客戶_042,client042@exampl,公司_dup_042,Email,重複線索
客戶_058,client058@exampl,公司_dup_058,Email,重複線索
客戶_091,client091@exampl,公司_dup_091,Email,重複線索
