報名編號,姓名,Email,場次,報名費,報名日期
R103,陳　玟伶,Wenling.Chen@mail.com,入門場,"1,200",5月6日
R132, 董昱伶 ,YULING.TUNG@COMPANY.COM,AI 入門場,"NT$ 1,200",2026/5/5
R161, 陳玟伶 ,WENLING.CHEN@MAIL.COM,A場 入門,1200 元整,05/08/2026
R127,高　郁婷,Yuting.Kao@biznet.tw,企業包班,＄3500,5月6日
R156,鍾佳臻,chiachen.chung@gmail.com,B場 進階,2000 元整,2026.05.07
R122,江采蓁,tsaichen.chiang@hotmail.com,C場 企業包班,NT$3500,2026.05.07
R151,楊心怡,hsinyi.yang@mail.net,AI入門場,＄1200,2026-05-04
R117, 邱柏勳 ,POSHUN.CHIU@WEBMAIL.TW,進階應用 場,"2,000",05/08/2026
R146,尤千慧,chienhui.yu@biznet.tw,ai入門,"NT$ 1,200",2026.05.07
R112,楊　心怡,Hsinyi.Yang@mail.net,AI 入門,1200 元整,2026-5-9
R141, 莊雨潔 ,YUCHIEH.CHUANG@GMAIL.COM,A場 入門,＄1200,05/08/2026
R107,吳柏宇,boyu.wu@company.com,AI入門場,1200,2026-05-04
R136,方　品妍,Pinyen.Fang@hotmail.com,AI進階應用場,NT$2000,2026-5-9
R102, 李宗翰 ,TSUNGHAN.LEE@YAHOO.COM.TW,進階場,2000元,2026/5/5
